dataset,scenario,model,signal,metric,spearman_mean,spearman_std,pearson_mean,pearson_std,n_seeds_valid
lsac,no_drift,lr,global_mean,DI_star,-0.05864510816249142,0.18550622597400887,-0.07530533703013606,0.21136662827626015,3
lsac,no_drift,lr,global_mean,AOD_star,-0.04160401002506265,0.11375906443742739,-0.03314340990492593,0.13581444904682352,3
lsac,no_drift,lr,global_mean,BalAcc,0.10325814536340851,0.0327007647725315,0.14461501294630477,0.11911663844307949,3
lsac,no_drift,lr,global_ewma,DI_star,0.12183807270787371,0.34426894862825286,0.08619707388955937,0.32200817994352826,3
lsac,no_drift,lr,global_ewma,AOD_star,0.015538847117794482,0.22978615794128504,0.00994069227789407,0.256828821640359,3
lsac,no_drift,lr,global_ewma,BalAcc,-0.13182957393483707,0.1290919030873628,-0.09795462290497614,0.13943321448930449,3
lsac,no_drift,lr,global_std,DI_star,-0.06593467871366042,0.08498153168507576,0.01609977092878243,0.16858965063432596,3
lsac,no_drift,lr,global_std,AOD_star,0.025563909774436094,0.14629036399416911,0.06455049946010137,0.2069999533703754,3
lsac,no_drift,lr,global_std,BalAcc,0.1233082706766917,0.1858020350160465,0.12585158621077822,0.16655989252693312,3
lsac,no_drift,lr,subgroup_violation_diff,DI_star,-0.000750465594065043,0.09553526441963181,-0.05745773028066104,0.06508637064657911,3
lsac,no_drift,lr,subgroup_violation_diff,AOD_star,-0.11378446115288222,0.3074255383303466,-0.1432547300800559,0.18869518622733703,3
lsac,no_drift,lr,subgroup_violation_diff,BalAcc,-0.23558897243107768,0.12302880080943082,-0.1993127924005221,0.17495956145994349,3
lsac,no_drift,lr,max_subgroup_deviation,DI_star,-0.03162155907127092,0.22736931458793522,0.0444276939564567,0.2669114525626534,3
lsac,no_drift,lr,max_subgroup_deviation,AOD_star,0.08220551378446116,0.17340170944438796,0.10451209742653338,0.22933823256081762,3
lsac,no_drift,lr,max_subgroup_deviation,BalAcc,0.06766917293233084,0.16241065620398878,0.06989299166019544,0.2051299500386075,3
lsac,no_drift,lr,assignment_proportion_drift,DI_star,0.1227485568699778,0.25345355024282473,0.03196969617569429,0.17714471288132957,3
lsac,no_drift,lr,assignment_proportion_drift,AOD_star,0.02679997907064055,0.16482818086856954,0.03591990537515142,0.11771267060729523,3
lsac,no_drift,lr,assignment_proportion_drift,BalAcc,0.006763052072399353,0.07029645274093596,0.010855172089494478,0.07115015683437573,3
lsac,no_drift,lr,ks_statistic,DI_star,0.006018431446424337,0.08118532069128175,-0.06968593375999772,0.049739534914129274,3
lsac,no_drift,lr,ks_statistic,AOD_star,0.017543859649122806,0.08599376968022993,0.0015485637744783454,0.10076060070124425,3
